soi_name,master_comp_security_name,family_name,security_type,normalized_security_name,normalized_soi_name,normalized_family_name
"Blackhawk Industrial Distribution, Inc.",BlackHawk Industrial (Incremental TL),BlackHawk Industrial,First Lien,blackhawk industrial incremental term loan,blackhawk industrial distribution,blackhawk industrial
"Blackhawk Industrial Distribution, Inc.",BlackHawk Industrial (TL),BlackHawk Industrial,First Lien,blackhawk industrial term loan,blackhawk industrial distribution,blackhawk industrial
"Blackhawk Industrial Distribution, Inc. - Funded Revolver",BlackHawk Industrial (Revolver),BlackHawk Industrial,First Lien,blackhawk industrial revolver,blackhawk industrial distribution funded revolver,blackhawk industrial
"Blackhawk Industrial Distribution, Inc. - Unfunded Revolver",BlackHawk Industrial (Revolver),BlackHawk Industrial,First Lien,blackhawk industrial revolver,blackhawk industrial distribution unfunded revolver,blackhawk industrial
"Blackhawk Industrial Distribution, Inc. - Unfunded Term Loan",BlackHawk Industrial (DDTL),BlackHawk Industrial,First Lien,blackhawk industrial delayed draw term loan,blackhawk industrial distribution unfunded term loan,blackhawk industrial
"Blue Cloud Pediatric Surgery Centers, LLC",Blue Cloud (Incr. Term Loan),Blue Cloud,First Lien,blue cloud incr term loan,blue cloud pediatric surgery centers,blue cloud
"Boss Industries, LLC",Boss Industries (Revolver),Boss Industries,First Lien,boss industries revolver,boss industries,boss industries
"Boss Industries, LLC",Boss Industries (Term Loan),Boss Industries,First Lien,boss industries term loan,boss industries,boss industries
"Bottom Line Systems, LLC",Bottom Line Systems,,First Lien,bottom line systems,bottom line systems,
"Broder Bros, Co.",alphabroder,alphabroder,First Lien,alphabroder,broder bros,alphabroder
"Broder Bros., Co.",alphabroder,alphabroder,First Lien,alphabroder,broder bros,alphabroder
"Burgess Point Holdings, L.P.",BBB Industries (Common Equity),BBB Industries,Common Equity,bbb industries common equity,burgess point holdings l p,bbb industries
Burgess Point Purchaser Corporation,BBB Industries (First Lien Term Loan),BBB Industries,First Lien,bbb industries first lien term loan,burgess point purchaser corporation,bbb industries
Burgess Point Purchaser Corporation,BBB Industries (Second Lien Term Loan),BBB Industries,Second Lien,bbb industries second lien term loan,burgess point purchaser corporation,bbb industries
By Light Holdings LLC,By Light (HoldCo Note),By Light,Subordinated Debt,by light holdco note,by light holdings,by light
By Light Investco LP,By Light (Equity),By Light,Common Equity,by light equity,by light investco,by light
By Light Investco LP (Unfunded),By Light (Equity),By Light,Common Equity,by light equity,by light investco unfunded,by light
"By Light Professional IT Services, LLC",By Light (Term Loan),By Light,First Lien,by light term loan,by light professional it services,by light
"By Light Professional IT Services, LLC - Funded Revolver",By Light (Revolver),By Light,First Lien,by light revolver,by light professional it services funded revolver,by light
"By Light Professional IT Services, LLC - Unfunded Revolver",By Light (Revolver),By Light,First Lien,by light revolver,by light professional it services unfunded revolver,by light
"By Light Professional IT Services, LLC - Unfunded Term Loan",By Light (DDTL),By Light,First Lien,by light delayed draw term loan,by light professional it services unfunded term loan,by light
"By Light Professional Services, LLC",By Light (Term Loan),By Light,First Lien,by light term loan,by light professional services,by light
"C5MI Acquisition, LLC",C5MI (Term Loan),C5MI,First Lien,c5mi term loan,c5mi acquisition,c5mi
"C5MI Acquisition, LLC",C5MI (Revolver),C5MI,First Lien,c5mi revolver,c5mi acquisition,c5mi
"C5MI Holdco, LLC",C5MI (Common Equity),C5MI,Common Equity,c5mi common equity,c5mi holdco,c5mi
"C5MI Holdco, LLC",C5MI (Preferred Equity),C5MI,Preferred Equity,c5mi preferred equity,c5mi holdco,c5mi
"CARISK BUYER, INC.",Carisk Partners (Revolver),Carisk Partners,First Lien,carisk partners revolver,carisk buyer,carisk partners
"CARISK BUYER, INC.",Carisk Partners (DDTL),Carisk Partners,First Lien,carisk partners delayed draw term loan,carisk buyer,carisk partners
"CARISK BUYER, INC.",Carisk Partners (TL),Carisk Partners,First Lien,carisk partners term loan,carisk buyer,carisk partners
"CARISK PARENT, L.P.",Carisk Partners (Equity),Carisk Partners,Common Equity,carisk partners equity,carisk parent l p,carisk partners
"CF512, Inc.",Gen3 Marketing (Term Loan),Gen3 Marketing,First Lien,gen3 marketing term loan,cf512,gen3 marketing
"CF512, Inc. - Unfunded Revolver",Gen3 Marketing (Revolver),Gen3 Marketing,First Lien,gen3 marketing revolver,cf512 unfunded revolver,gen3 marketing
"CF512, Inc. - Unfunded Term Loan",Gen3 Marketing (DDTL),Gen3 Marketing,First Lien,gen3 marketing delayed draw term loan,cf512 unfunded term loan,gen3 marketing
"CHA Holdings, Inc.",CHA Consulting (TL),CHA Consulting,First Lien,cha consulting term loan,cha holdings,cha consulting
"CHA Holdings, Inc. - Unfunded Term Loan",CHA Consulting (DDTL),CHA Consulting,First Lien,cha consulting delayed draw term loan,cha holdings unfunded term loan,cha consulting
