"soi_name","master_comp_security_name","family_name","security_type"
"Seaway Buyer, LLC - Funded Revolver",Seaway (Revolver),Seaway Plastics,First Lien
"Seaway Buyer, LLC - Unfunded Revolver",Seaway (Revolver),Seaway Plastics,First Lien
Seaway TopCo LP,Seaway (Equity),Seaway Plastics,Common Equity
"Seaway Topco, LLC",Seaway (Equity),Seaway Plastics,Common Equity
"Seaway Topco, LP",Seaway (Equity),Seaway Plastics,Common Equity
"Seaway Topco, LP (Common Equity)",Seaway (Equity),Seaway Plastics,Common Equity
"ShiftKey, LLC",ShiftKey (Term Loan),ShiftKey,First Lien
"Sigma Defense Systems, Inc. - Incremental Term Loan",Sigma Defense (Incremental TL),Sigma Defense,First Lien
"Sigma Defense Systems, Inc. - Revolver",Sigma Defense (Revolver),Sigma Defense,First Lien
"Sigma Defense Systems, Inc. - Term Loan",Sigma Defense (Term Loan),Sigma Defense,First Lien
"Sigma Defense Systems, LLC",Sigma Defense (Term Loan),Sigma Defense,First Lien
"Sigma Defense Systems, LLC - Funded Revolver",Sigma Defense (Revolver),Sigma Defense,First Lien
"Sigma Defense Systems, LLC - Revolver",Sigma Defense (Revolver),Sigma Defense,First Lien
"Sigma Defense Systems, LLC - Unfunded Revolver",Sigma Defense (Revolver),Sigma Defense,First Lien
"Signature CR Intermediate Holdco, Inc. (Common)",Signature Systems Group (Common Equity),Signature Systems Group,Common Equity
"Signature CR Intermediate Holdco, Inc. (Preferred)",Signature Systems Group (Preferred Equity),Signature Systems Group,Preferred Equity
Signature Systems Holding Company,Signature Systems Group (TL),Signature Systems Group,First Lien
Signature Systems Holding Company - Funded Revolver,Signature Systems Group (RC),Signature Systems Group,First Lien
Signature Systems Holding Company - Term Loan II,Signature Systems Group (TL II),Signature Systems Group,First Lien
Signature Systems Holding Company - Unfunded Revolver,Signature Systems Group (RC),Signature Systems Group,First Lien
Signature Systems Holding Company First Lien Term Loan II,Signature Systems Group (TL II),Signature Systems Group,First Lien
Signature Systems Holding Company. - Unfunded Revolver,Signature Systems Group (RC),Signature Systems Group,First Lien
Skopima Consilio Parent LLC,Consilio (TL),Consilio,First Lien
"Skopima Consilio Parent, LLC",Consilio (TL),Consilio,First Lien
Smile Brands Inc.,Smile Brands (TL),Smile Brands,First Lien
Smile Brands Inc. - Funded Revolver,Smile Brands (Revolver),Smile Brands,First Lien
Smile Brands Inc. - Unfunded Revolver,Smile Brands (Revolver),Smile Brands,First Lien
Smile Brands Inc. - Unfunded Revolver - LC,Smile Brands (Revolver),Smile Brands,First Lien
Smile Brands Inc. - Unfunded Term Loan,Smile Brands (DDTL),Smile Brands,First Lien
"Smile Brands, Inc.",Smile Brands (TL),Smile Brands,First Lien
"Smile Brands, Inc. - Funded Revolver",Smile Brands (Revolver),Smile Brands,First Lien
"Smile Brands, Inc. - Unfunded Revolver",Smile Brands (Revolver),Smile Brands,First Lien
"Smile Brands, Inc. - Unfunded Term Loan",Smile Brands (DDTL),Smile Brands,First Lien
"Snak Club, LLC",Snak Club (TL),Snak Club,First Lien
"Snak Club, LLC - Funded Revolver",Snak Club (Rev),Snak Club,First Lien
"Snak Club, LLC - Unfunded Revolver",Snak Club (Rev),Snak Club,First Lien
"Snak Club, LLC - Unfunded Revolver (Temporary)",Snak Club (Rev),Snak Club,First Lien
"Solutionreach, Inc.",Solutionreach (TL),Solutionreach,First Lien
"Solutionreach, Inc. ",Solutionreach (TL),Solutionreach,First Lien
"Solutionreach, Inc. - Funded Revolver",Solutionreach (Rev),Solutionreach,First Lien
"Solutionreach, Inc. - Unfunded Revolver",Solutionreach (Rev),Solutionreach,First Lien
"Southern Veterinary Partners, LLC",Southern Veterinary Partners (TL),Southern Veterinary Partners,First Lien
"Spear Education, LLC",Spear Education (TL),Spear Education,First Lien
"Spear Education, LLC - Unfunded Term Loan",Spear Education (DDTL),Spear Education,First Lien
"Spectacle Gary Holdings, LLC",Hard Rock Gary (TL),"",First Lien
"Spectacle Gary Holdings, LLC - DDTL",Hard Rock Gary (DDTL),"",First Lien
"Spectacle Gary Holdings, LLC - Unfunded Term Loan",Hard Rock Gary (DDTL),"",First Lien
Spin Holdco Inc.,CSC Service Works,"",Second Lien
Spyder (BC) Bidco Pty Ltd,Camp Australia,Camp Australia,Second Lien
"StellPen Holdings, LLC (CF512, Inc.)",Gen3 Marketing (Common Equity),Gen3 Marketing,Common Equity
"StoicLane, Inc.",Archer Lewis (Common Equity),Archer Lewis,Common Equity
"Summit Behavioral Healthcare, LLC",Summit Behavioral Healthcare,Summit Behavioral Healthcare,First Lien
"Superior Digital Display Holdings, Inc. (P)",Superior (Preferred A),"",Preferred Equity
"Superior Digital Display Holdings, Inc. (Series B)",Superior (Preferred B),"",Preferred Equity
"Superior Digital Displays Holdings, Inc. ",Superior (Common),"",Common Equity
"Superior Digital Displays, LLC (ALL PIK)",Superior (Term Loan),"",First Lien
"Symplr Software, Inc.",Symplr (TL),Symplr,First Lien
"System Planning and Analysis, Inc.",MCR (Term Loan),MCR,First Lien
"System Planning and Analysis, Inc. (f/k/a Management Consulting & Research, LLC)",MCR (Term Loan),MCR,First Lien
"System Planning and Analysis, Inc. - Unfunded Revolver (f/k/a Management Consulting & Research, LLC)",MCR (Revolver),MCR,First Lien
TAC LifePort Holdings LLC,LifePort (Equity),LifePort,Common Equity
"TAC LifePort Holdings, LLC",LifePort (Equity),LifePort,Common Equity
"TAC LifePort Purchaser, LLC",LifePort (Term Loan),LifePort,First Lien
"TAC LifePort Purchaser, LLC ",LifePort (Term Loan),LifePort,First Lien
"TAC LifePort Purchaser, LLC - Funded Revolver",LifePort (Revolver),LifePort,First Lien
"TAC LifePort Purchaser, LLC - Unfunded Revolver",LifePort (Revolver),LifePort,First Lien
"TCG 3.0 JOGGER ACQUISITIONCO, INC.",BiggerPockets (TL),BiggerPockets,First Lien
"TCG 3.0 JOGGER ACQUISITIONCO, INC. ",BiggerPockets (TL),BiggerPockets,First Lien
"TCG 3.0 JOGGER ACQUISITIONCO, INC. ",BiggerPockets (Revolver),BiggerPockets,First Lien
"TCG 3.0 Jogger Co-Invest, LP ",BiggerPockets (Common Equity),BiggerPockets,Common Equity
"TPC Broadband Investors, LP",Advanced Cable,"",Common Equity
"TPC Broadband Investors, LP (Unfunded)",Advanced Cable,"",Common Equity
"TPC Canada Parent, Inc. and TPC US Parent, LLC",Targeted Pet Care (Term Loan),Targeted Pet Care,First Lien
"TPC Holding Company, LP (Common)",Targeted Pet Care (Common Equity),Targeted Pet Care,Common Equity
"TPC Holding Company, LP (Preferred)",Targeted Pet Care (Preferred Equity),Targeted Pet Care,Preferred Equity
"TPC Holding Company, LP – Common",Targeted Pet Care (Common Equity),Targeted Pet Care,Common Equity
"TPC Holding Company, LP – Preferred",Targeted Pet Care (Preferred Equity),Targeted Pet Care,Preferred Equity
"TPCN Holdings, LLC ",TPCN (Common Equity),Total Pool Care Network,Common Equity
"TPCN Midco, LLC",TPCN (DDTL),Total Pool Care Network,First Lien
"TPCN Midco, LLC",TPCN (Term Loan),Total Pool Care Network,First Lien
"TPCN Midco, LLC",TPCN (Revolver),Total Pool Care Network,First Lien
"TRANSGO, LLC",TransGo (TL),TransGo,First Lien
"TRANSGO, LLC",TransGo (Revolver),TransGo,First Lien
"TVC Enterprises, LLC",TVC (TL),TVC,First Lien
"TVC Enterprises, LLC - Funded Revolver",TVC (Revolver),TVC,First Lien
"TVC Enterprises, LLC - Unfunded Revolver",TVC (Revolver),TVC,First Lien
"TVC Enterprises, LLC - Unfunded Term Loan",TVC (DDTL),TVC,First Lien
"TWD Parent Holdings, LLC (The Vertex Companies, LLC) (Common)",Vertex (Common Equity),Vertex,Common Equity
"TWD Parent Holdings, LLC (The Vertex Companies, LLC) (Preferred)",Vertex (Preferred Equity),Vertex,Preferred Equity
"TWD Parent Holdings, LLC - Common Equity",Vertex (Common Equity),Vertex,Common Equity
"TWD Parent Holdings, LLC - Preferred Equity",Vertex (Preferred Equity),Vertex,Preferred Equity
TWS Acquisition Corporation,StrataTech (Term Loan),StrataTech,First Lien
TWS Acquisition Corporation - Funded Revolver,StrataTech (Revolver),StrataTech,First Lien
TWS Acquisition Corporation - Unfunded Revolver,StrataTech (Revolver),StrataTech,First Lien
"Team Services Group, LLC",TEAM Services Group (First Lien Term Loan),TEAM Services Group,First Lien
"Team Services Group, LLC",TEAM Services Group (Second Lien Term Loan),TEAM Services Group,Second Lien
"Team Services Group, LLC - 2nd Lien",TEAM Services Group (Second Lien Term Loan),TEAM Services Group,Second Lien
"TeleGuam Holdings, LLC",Teleguam,Teleguam,First Lien
"TeleGuam Holdings, LLC ",Teleguam,Teleguam,First Lien
Teneo Holdings LLC,Teneo (TL),Teneo,First Lien
Tensar Corporation,Tensar,"",First Lien
Test,test,Test,Test
Test,Test,Test,Test
Test1,Test1,Test1,Test1
"The Aegis Technologies Group, LLC",BlueHalo (Term Loan),BlueHalo,First Lien
The Bluebird Group LLC,Bluebird (Term Loan),Bluebird,First Lien
The Bluebird Group LLC - Unfunded Revolver,Bluebird (Revolver),Bluebird,First Lien
"The Edelman Financial Center, LLC",Edelman (Term Loan),Edelman,First Lien
"The Infosoft Group, LLC",Infosoft (TL),Infosoft,First Lien
The Original Cakerie Ltd.,The Original Cakerie Ltd. (CAD TL),The Original Cakerie,First Lien
The Original Cakerie Ltd. - Funded Revolver,The Original Cakerie Ltd. (CAD Revolver),The Original Cakerie,First Lien
The Original Cakerie Ltd. - Unfunded Revolver,The Original Cakerie Ltd. (CAD Revolver),The Original Cakerie,First Lien
The Original Cakerie Ltd. - Unfunded Revolver - LC,The Original Cakerie Ltd. (CAD Revolver),The Original Cakerie,First Lien
"The Original Cakerie, Co.","The Original Cakerie, Co. (US TL)",The Original Cakerie,First Lien
"The Vertex Companies, LLC",Vertex (Term Loan),Vertex,First Lien
"The Vertex Companies, LLC - Unfunded Revolver",Vertex (Revolver),Vertex,First Lien
"The Vertex Companies, LLC - Unfunded Term Loan",Vertex (DDTL),Vertex,First Lien
"Tower Arch Infolinks Media, LP",Infolinks (Common Equity),Infolinks,Common Equity
"Tower Arch Infolinks Media, LP - Unfunded",Infolinks (Common Equity),Infolinks,Common Equity
"TransnetYX, Inc.",Transnetyx (Term Loan),Transnetyx,First Lien
"Tyto Athene, LLC",Tyto Athene (Term Loan),Tyto Athene,First Lien
"Tyto Athene, LLC (New Issue)",Tyto Athene (Term Loan),Tyto Athene,First Lien
"Tyto Athene, LLC (New Issue) - Unfunded Revolver",Tyto Athene (Revolver),Tyto Athene,First Lien
"Tyto Athene, LLC - Funded Revolver",Tyto Athene (Revolver),Tyto Athene,First Lien
"Tyto Athene, LLC - Unfunded Revolver",Tyto Athene (Revolver),Tyto Athene,First Lien
"U.S. Well Services, Inc. - Class A",U.S. Well (Class A),U.S. Well,Common Equity
"UBEO, LLC",UBEO (TL),UBEO,First Lien
"UBEO, LLC - Funded Revolver",UBEO (Revolver),UBEO,First Lien
"UBEO, LLC - Unfunded Revolver",UBEO (Revolver),UBEO,First Lien
"UBEO, LLC - Unfunded Term Loan",UBEO (DDTL),UBEO,First Lien
UNITED LAND SERVICES INTERMEDIATE PARENT HOLDINGS LLC,United Land Services (HoldCo Notes DDTL),United Land Services,Subordinated Debt
UNITED LAND SERVICES INTERMEDIATE PARENT HOLDINGS LLC,United Land Services (HoldCo Notes),United Land Services,Subordinated Debt
"UROLOGY MANAGEMENT HOLDINGS, INC.",Solaris Health (DDTL 2024),Solaris Health,First Lien
"UROLOGY MANAGEMENT HOLDINGS, INC.",Solaris Health (DDTL),Solaris Health,First Lien
"UROLOGY MANAGEMENT HOLDINGS, INC.",Solaris Health (Term Loan),Solaris Health,First Lien
"UROLOGY PARTNERS CO., L.P.",Solaris Health (Common Equity),Solaris Health,Common Equity
"US Dominion, Inc.",Dominion Voting (Term Loan),Dominion Voting Systems,First Lien
"US Dominion, Inc. - Funded Revolver",Dominion Voting (Revolver),Dominion Voting Systems,First Lien
"US Dominion, Inc. - Unfunded Revolver",Dominion Voting (Revolver),Dominion Voting Systems,First Lien
"US Fertility Enterprises, LLC",US Fertility (DDTL),US Fertility,First Lien
"US Fertility Enterprises, LLC",US Fertility (Term Loan),US Fertility,First Lien
"US Med Acquisition, Inc.",US Med,"",First Lien
"USWS Holdings, LLC",U.S. Well (Class B),U.S. Well,Common Equity
"UniTek Acquisition, Inc.",UniTek (TL),"",First Lien
"UniTek Global Services, Inc. - Senior Preferred Equity",UniTek (DDTL),UniTek,Preferred Equity
"UniTek Global Services, Inc. - Super Senior Preferred Equity",UniTek (Super Pref),UniTek,Preferred Equity
"UniTek Global Services, Inc.(C)",UniTek (Common Eq),UniTek,Common Equity
"UniTek Global Services, Inc.(P)",UniTek (Preferred Eq),UniTek,Preferred Equity
"UniTek Global Services, Inc.(W)",UniTek (Common Eq),UniTek,Common Equity
UniVista Insurance,UniVista (Equity),UniVista,Common Equity
"Unique Indoor Comfort, LLC",Unique Indoor Comfort (TL),Unique Indoor Comfort,First Lien
"Unique Indoor Comfort, LLC - Unfunded Revolver",Unique Indoor Comfort (Revolver),Unique Indoor Comfort,First Lien
"Unique Indoor Comfort, LLC - Unfunded Term Loan",Unique Indoor Comfort (DDTL),Unique Indoor Comfort,First Lien
United Land Services Holdings LLC ,United Land Services (Common Equity),United Land Services,Common Equity
"Urology Management Associates, LLC",New Jersey Urology (TL),"",First Lien
"VRS Buyer, Inc",Velocity Rail Solutions (DDTL),Velocity Rail Solutions,First Lien
"VRS Buyer, Inc",Velocity Rail Solutions (Revolver),Velocity Rail Solutions,First Lien
"VRS Buyer, Inc",Velocity Rail Solutions (Term Loan),Velocity Rail Solutions,First Lien
"VT Topco, Inc.",Veritext (2L),Veritext,Second Lien
"VT Topco, Inc.",Veritext (Incremental Second Lien),Veritext,Second Lien
Vertex,Vertex (Term Loan),Vertex,First Lien
Vertex - Unfunded Revolver,Vertex (Revolver),Vertex,First Lien
Vertex - Unfunded Term Loan,Vertex (DDTL),Vertex,First Lien
"Virgin Pulse, Inc",Virgin Pulse (1L),"",First Lien
"Virgin Pulse, Inc.",Virgin Pulse (1L),"",First Lien
Vision Purchaser Corporation,Vision Integrated (TL),Vision Integrated,First Lien
"WCP IVYREHAB QP CF FEEDER, L.P.",Ivy Rehab (Common Equity),Ivy Rehab,Common Equity
"WCP IVYREHAB QP CF FEEDER, L.P. - Unfunded",Ivy Rehab (Common Equity),Ivy Rehab,Common Equity
"WCP Ivyrehab QP CF Feeder, LP",Ivy Rehab (Common Equity),Ivy Rehab,Common Equity
"WCP Ivyrehab QP CF Feeder, LP - Unfunded",Ivy Rehab (Common Equity),Ivy Rehab,Common Equity
"WCP Ivyrehab QP CF Feeder, LP. - Unfunded",Ivy Rehab (Common Equity),Ivy Rehab,Common Equity
Walker Edison Furniture Company LLC,Walker Edison (TL),Walker Edison,First Lien
Watchtower,Watchtower (TL),Watchtower,First Lien
Watchtower,Watchtower (Revolver),Watchtower,First Lien
Watchtower,Watchtower (DDTL),Watchtower,First Lien
Watchtower Buyer,Watchtower Buyer (DDTL),Watchtower Buyer,First Lien
Watchtower Buyer,Watchtower Buyer (Revolver),Watchtower Buyer,First Lien
Watchtower Buyer,Watchtower Buyer (TL),Watchtower Buyer,First Lien
Watchtower Holdings,Watchtower Holding (Common Equity),Watchtower Holdings,Common Equity
"West Girard Holdings, LLC",Philadelphia Girard Apartments (Term Loan),Philadelphia Girard Apartments ,First Lien
"Whitehawk Industrial Distribution, Inc.",WhiteHawk Industrial (TL),WhiteHawk Industrial,First Lien
"Wildcat Buyerco, Inc.",Nsi Industries (Term Loan),Nsi Industries,First Lien
"Wildcat Buyerco, Inc. - Funded Revolver",Nsi Industries (Revolver),Nsi Industries,First Lien
"Wildcat Buyerco, Inc. - Unfunded Revolver",Nsi Industries (Revolver),Nsi Industries,First Lien
"Wildcat Buyerco, Inc. - Unfunded Term Loan",Nsi Industries (DDTL),Nsi Industries,First Lien
"Wildcat Buyerco, Inc. - Unfunded Term Loan B",Nsi Industries (DDTL),Nsi Industries,First Lien
"Wildcat Buyerco, Inc. - Unfunded Term Loan C",Nsi Industries (DDTL),Nsi Industries,First Lien
"Wildcat Parent, LP",Nsi Industries (Equity),Nsi Industries,Common Equity
"Wildcat Parent, LP (Wildcat Buyerco, Inc.)",Nsi Industries (Equity),Nsi Industries,Common Equity
"Wrench Group, LLC",Wrench Group (Term Loan),Wrench Group,First Lien
"ZS Juniper L.P. (Juniper Landscaping of Florida, LLC)",Juniper (Common Equity),"",Common Equity
Zips - Unfunded Term Loan,Zips (DDTL),Zips,First Lien
"Zips Car Wash, LLC",Zips (Rollup DIP Term Loan),Zips,First Lien
"Zips Car Wash, LLC",Zips (New HoldCo Note),Zips,First Lien
"Zips Car Wash, LLC",Zips (Revolver),Zips,First Lien
"Zips Car Wash, LLC",Zips (New OpCo Term Loan),Zips,First Lien
"Zips Car Wash, LLC",Zips (New Money DIP Term Loan),Zips,First Lien
"Zips Car Wash, LLC",Zips (Common Equity),Zips,Common Equity
"Zips Car Wash, LLC",Zips (Term Loan),Zips,First Lien
"Zips Car Wash, LLC - Unfunded Term Loan",Zips (DDTL),Zips,First Lien
"eCommission Financial Services, Inc.",eCommission (Term Loan),eCommission,First Lien
"eCommission Financial Services, Inc. - Funded Revolver",eCommission (Revolver),eCommission,First Lien
"eCommission Financial Services, Inc. - Unfunded Revolver",eCommission (Revolver),eCommission,First Lien
eCommission Holding Corporation,eCommission (Equity),eCommission,Common Equity
eCommission Holdings Corporation,eCommission (Equity),eCommission,Common Equity
"iEnergizer Limited and Aptara, Inc.",iEnergizer,"",First Lien
test,test,test,test
